,정당,시도명,시군구,이름,직업,나이,생일,교육,커리어,득표율,선거명,날짜
30,한나라당,대구광역시,북구을,안택수,국회의원,60,19431113,서울대학교 정치학과 졸업,"제15,16대국회의원",58.7,국회의원선거,20040415
31,한나라당,대구광역시,수성구갑,이한구,16대 국회의원,58,19451212,미국캔사스 주립대학교 졸업,한나라당 정책위원회 부의장,60.3,국회의원선거,20040415
32,한나라당,대구광역시,수성구을,주호영,변호사,43,19601210,영남대학교 대학원 법학과 졸업,대구지방법원 부장판사,66.5,국회의원선거,20040415
33,한나라당,대구광역시,달서구갑,박종근,"제15, 16대 국회의원",67,19370205,미국워싱턴주립대학원졸업(국제경제학석사),"경제기획원 경제기획관,예산심의관",59.7,국회의원선거,20040415
34,한나라당,대구광역시,달서구을,이해봉,국회의원,61,19420615,서울대학교 행정학과졸업,대구직할시장,66.9,국회의원선거,20040415
35,한나라당,대구광역시,달서구병,김석준,이화여자대학교 행정학과 교수,51,19520615,美UCLA대학교정치학과졸업(석박사과정졸업),경북대학교 법대교수,64.8,국회의원선거,20040415
36,한나라당,대구광역시,달성군,박근혜,국회의원,52,19520202,서강대학교 전자공학과 졸업,한나라당 대표,70,국회의원선거,20040415
37,열린우리당,인천광역시,중구·동구·옹진군,한광원,공인회계사,47,19570401,서울대학교 경영대학원 2년 졸업,인일회계법인 이사,35.6,국회의원선거,20040415
38,열린우리당,인천광역시,남구갑,유필우,정치인,59,19450114,서울대학교 행정대학원 수료,인천광역시 정무부시장,44,국회의원선거,20040415
39,열린우리당,인천광역시,남구을,안영근,국회의원,46,19580220,인하대학교 행정학과 졸업,환경운동연합 국정정책자문위원,46.3,국회의원선거,20040415
40,한나라당,인천광역시,연수구,황우여,국회의원,56,19470803,서울대학교 대학원 법학과 졸업,"15,16대 국회의원",47.1,국회의원선거,20040415
41,한나라당,인천광역시,남동구갑,이윤성,국회의원,59,19441002,한국외국어대학교 졸업,"KBS 보도본부24시,9시뉴스앵커",45.8,국회의원선거,20040415
42,열린우리당,인천광역시,남동구을,이호웅,현역 국회의원,54,19490801,서울대학교정치학과 4년졸업,제16대 국회의원,46.5,국회의원선거,20040415
43,열린우리당,인천광역시,부평구갑,문병호,변호사,44,19591227,서울대학교 법과대학 졸업,변호사,40.8,국회의원선거,20040415
44,열린우리당,인천광역시,부평구을,최용규,국회의원,48,19560310,고려대학교 법학과 졸업,초대민선 부평구청장,48.8,국회의원선거,20040415
45,열린우리당,인천광역시,계양구갑,신학용,법무사,52,19520121,서울대학교 정치학과 졸업,서울대 총동창회 이사,51.1,국회의원선거,20040415
46,열린우리당,인천광역시,계양구을,송영길,국회의원,41,19630321,연세대 경영학과 졸업,연세대 초대 총학생회장,56.2,국회의원선거,20040415
47,열린우리당,인천광역시,서구·강화군갑,김교흥,정당인,43,19600830,동국대학교 대학원 박사과정 수료,열린우린당 정책위원회 부의장,45.2,국회의원선거,20040415
48,한나라당,인천광역시,서구·강화군을,이경재,정당인,62,19411217,서울대학교 사회학과 졸업,"15, 16대 국회의원",47.5,국회의원선거,20040415
49,열린우리당,광주광역시,동구,양형일,교수,53,19510302,미국주립휴스턴대학교 행정학 박사,조선대학교 11대 총장,51.8,국회의원선거,20040415
50,열린우리당,광주광역시,서구갑,염동연,정당인,58,19460128,미국 퍼시픽 웨스턴대학교 정치학석사(2년),노무현 대통령후보 정무특보,52.6,국회의원선거,20040415
51,열린우리당,광주광역시,서구을,정동채,국회의원,53,19500703,경희대학교 국어국문학과 졸업,제16대 대선 노무현후보 비서실장,51.6,국회의원선거,20040415
52,열린우리당,광주광역시,남구,지병문,교수,50,19531014,뉴욕주립대학교 정치학박사,전남대 정치외교학과 교수,46.2,국회의원선거,20040415
53,열린우리당,광주광역시,북구갑,강기정,시민운동가,39,19641203,전남대학교 행정대학원 졸업,청와대 국가균형 발전위원회 자문위원(현),59.8,국회의원선거,20040415
54,열린우리당,광주광역시,북구을,김태홍,제16대 국회의원,61,19420927,서울대학교 사학과 졸업,초대민선북구청장,55.7,국회의원선거,20040415
55,열린우리당,광주광역시,광산구,김동철,(사)한국석유수출입협회회장(현),48,19550630,서울대학교 법학과 졸업,청와대정무수석실정무기획비서관(1급),58,국회의원선거,20040415
56,열린우리당,대전광역시,동구,선병렬,정당인,46,19580403,충남대학교 사회학과 졸업,대통령정책실신행정수도추진기획단자문위원,43.7,국회의원선거,20040415
57,열린우리당,대전광역시,중구,권선택,대전미래발전연구소 소장,48,19551201,대전대학교대학원박사과정수료(행정학),대전광역시행정부시장,52.2,국회의원선거,20040415
58,열린우리당,대전광역시,서구갑,박병석,16대 국회의원,52,19520125,한양대대학원신문방송학과박사과정(휴학중),서울시 정무부시장,51.8,국회의원선거,20040415
59,열린우리당,대전광역시,서구을,구논회,교육사업,43,19600620,고려대학교 행정대학원 졸업(정책학석사),대전대학학원 이사장,41.7,국회의원선거,20040415
60,열린우리당,대전광역시,유성구,이상민,변호사,46,19580122,충남대학교 법과대학 법학과 졸업,대통령인사보좌 자문위원,32.2,국회의원선거,20040415
61,열린우리당,대전광역시,대덕구,김원웅,국회의원,60,19440308,서울대 정치학과 졸업,개혁당 대표,50.8,국회의원선거,20040415
62,한나라당,울산광역시,중구,정갑윤,국회의원,53,19501108,울산대학교산업대학원졸업,제4대경남도의원,46.8,국회의원선거,20040415
63,한나라당,울산광역시,남구갑,최병국,국회의원,62,19420127,서울대학교 사법대학원 수료,대검찰청 중앙수사부장,48.8,국회의원선거,20040415
64,한나라당,울산광역시,남구을,김기현,변호사,45,19590221,서울대학교 대학원 법학과 2년 수료,울산지방법원 판사(전),45.6,국회의원선거,20040415
65,국민통합21,울산광역시,동구,정몽준,국회의원,52,19511017,존스홉킨스대학 국제관계대학원 졸업,"국회의원(13,14,15,16대)",65.2,국회의원선거,20040415
66,민주노동당,울산광역시,북구,조승수,정당인,41,19630122,울산대학교 지역개발대학원 졸업(행정학),북구청장,46.9,국회의원선거,20040415
67,열린우리당,울산광역시,울주군,강길부,교수,61,19420605,경원대학교 대학원 졸업,대통령 건설교통비서관,42.6,국회의원선거,20040415
68,열린우리당,경기도,수원시장안구,심재덕,정당인,65,19390115,서울대학교농과대학잠사과졸업,민선1.2대수원시장역임,44.4,국회의원선거,20040415
69,열린우리당,경기도,수원시권선구,이기우,디자인큐브 대표,37,19660816,아주대학교 공공정책대학원 3학기 재학중,제5대 경기도의회의원,44,국회의원선거,20040415
70,한나라당,경기도,수원시팔달구,남경필,정당인,39,19650120,"美, 예일대 경영대학원 경영학석사(2년)",한나라당 대변인(전),49,국회의원선거,20040415
71,열린우리당,경기도,수원시영통구,김진표,정당인,56,19470504,美위스콘신대 대학원 공공정책학과 졸(2년),대통령정책기획수석비서관,48.3,국회의원선거,20040415
72,열린우리당,경기도,성남시수정구,김태년,동북아 연구소 소장,39,19650320,경희대학교 행정학과 졸업,경희대학교 총학생회장,43.9,국회의원선거,20040415
73,열린우리당,경기도,성남시중원구,이상락,정당인,50,19530530,독학,전 경기도 도의원,39.2,국회의원선거,20040415
74,한나라당,경기도,성남시분당구갑,고흥길,국회의원,59,19440813,서울대학교 정치학과 졸업,중앙일보 편집국장,54.1,국회의원선거,20040415
75,한나라당,경기도,성남시분당구을,임태희,국회의원,47,19561201,서울대학교 경영학과 졸업,국회 재정경제위원회 위원,54,국회의원선거,20040415
76,열린우리당,경기도,의정부시갑,문희상,정당인,59,19450303,서울대학교 법학과 졸업,대통령비서실장,52.1,국회의원선거,20040415
77,열린우리당,경기도,의정부시을,강성종,학원법인 신흥학원 이사장,37,19660718,(미)브리지포트대학교 교육학 박사,새천년민주당의정부시지구당위원장,45.4,국회의원선거,20040415
78,열린우리당,경기도,안양시만안구,이종걸,국회의원,46,19570522,서울대학교 법학과 졸업,민주사회를위한 변호사모임 기획간사,51.9,국회의원선거,20040415
79,열린우리당,경기도,안양시동안구갑,이석현,정당인,53,19510316,서울대학교 법학과 졸업,제14·15대 국회의원,51.6,국회의원선거,20040415
80,한나라당,경기도,안양시동안구을,심재철,국회의원,46,19580118,서울대학교 영어교육학과 졸업,MBC 기자,51,국회의원선거,20040415
81,열린우리당,경기도,부천시원미구갑,김기석,정당인,57,19461205,중앙대학교 국제경영대학원 졸업(석사),열린우리당 직능특별위원장,46.7,국회의원선거,20040415
82,열린우리당,경기도,부천시원미구을,배기선,국회의원,53,19500915,고려대 정책과학대학원 석사과정졸업,열린우리당 깨끗한정치실천위원장,47.5,국회의원선거,20040415
83,한나라당,경기도,부천시소사구,김문수,국회의원,52,19510827,서울대학교 경영대학 경영학과 졸업,제15·16대 국회의원,52.9,국회의원선거,20040415
84,열린우리당,경기도,부천시오정구,원혜영,정당인,52,19510927,서울대학교 역사교육학과졸업,제14대국회의원,60.1,국회의원선거,20040415
85,열린우리당,경기도,광명시갑,이원영,변호사,50,19540407,서울대학교 법과대학 법학과 졸업,민.변 부회장,49.4,국회의원선거,20040415
86,한나라당,경기도,광명시을,전재희,국회의원,54,19490906,영남대학교 법정대학 4년졸,광명시장 (관선·민선),47.2,국회의원선거,20040415
87,열린우리당,경기도,평택시갑,우제항,정당인,55,19481026,서울대학교 환경대학원 졸업(도시계획학),경희대학교 객원교수 역임,48.6,국회의원선거,20040415
88,열린우리당,경기도,평택시을,정장선,제16대 국회의원,46,19580316,연세대학교 행정대학원 졸업,국회정치개혁특별위원회위원,49.3,국회의원선거,20040415
89,열린우리당,경기도,양주시·동두천시,정성호,변호사,41,19620602,서울대학교 법과대학 졸업,열린우리당 수도권대책특별위원회위원장,49.3,국회의원선거,20040415
90,열린우리당,경기도,안산시상록구갑,장경수,시민운동가,44,19590816,단국대학교 대학원 박사과정  수료,인천시민대학 강사역임,44.3,국회의원선거,20040415
91,열린우리당,경기도,안산시상록구을,임종인,변호사,47,19560828,고려대학교 법학과 졸업,민주사회를위한변호사모임 부회장,47.9,국회의원선거,20040415
92,열린우리당,경기도,안산시단원구갑,천정배,국회의원,49,19541212,서울대학교 대학원 법학과 석사과정 졸업,"제15대, 제16대 국회의원",58.2,국회의원선거,20040415
93,열린우리당,경기도,안산시단원구을,제종길,한국해양연구원 책임연구원,49,19550321,서울대학교 대학원 해양학과 박사과정 졸업,한국해양연구원 책임연구원,44.8,국회의원선거,20040415
94,열린우리당,경기도,고양시덕양구갑,유시민,국회의원,44,19590728,서울대학교 경제학과 졸업,개혁국민정당 대표집행위원,47.9,국회의원선거,20040415
95,열린우리당,경기도,고양시덕양구을,최성,고양생활경제연구소 소장,40,19630810,고려대학교 정치외교학과 정치학박사,청와대 외교안보수석실(통일비서실)행정관,50.6,국회의원선거,20040415
96,열린우리당,경기도,고양시일산구갑,한명숙,정당인,60,19440324,이화여자대학교대학원여성학과졸업(석사),여성부 장관,49,국회의원선거,20040415
97,한나라당,경기도,고양시일산구을,김영선,국회의원,43,19600516,서울대 법대 공법학과 졸업,사법시험(제20회)합격,45.1,국회의원선거,20040415
98,한나라당,경기도,의왕시·과천시,안상수,국회의원,58,19460209,"마산고, 서울 법대 졸업",한나라당 대변인,48.6,국회의원선거,20040415
99,열린우리당,경기도,구리시,윤호중,정당인,41,19630327,서울대학교 철학과졸업,청와대 민정·정책기획국장,43.9,국회의원선거,20040415
100,열린우리당,경기도,남양주시갑,최재성,시민운동가,38,19650909,동국대학교 행정대학원졸업(행정학석사),동국대학교 총학생회장,39.8,국회의원선거,20040415
101,열린우리당,경기도,남양주시을,박기춘,정당인,47,19560501,대진대법무행정대학원석사과정행정학과재학,"제4,5대  경기도의원(자치행정,운영위원장)",47.6,국회의원선거,20040415
102,열린우리당,경기도,오산시,안민석,대학교수,37,19660813,미국북콜로라도주립대학교 교육학박사졸업,열린우리당 사교육대책특별위원회 위원장,60.5,국회의원선거,20040415
103,열린우리당,경기도,화성시,안병엽,정당인,59,19450217,고려대학교 정치외교학과 졸업,정보통신부 장관,45.7,국회의원선거,20040415
104,열린우리당,경기도,시흥시갑,백원우,정당인,37,19660502,고려대학교 신문방송학과 졸업,국회의원 제정구 비서관,52.9,국회의원선거,20040415
105,열린우리당,경기도,시흥시을,조정식,정당인,40,19631225,연세대학교 행정대학원 졸업,제정구의원 정책보좌관,59.4,국회의원선거,20040415
106,열린우리당,경기도,군포시,김부겸,제16대 국회의원,46,19580121,서울대학교 정치학과 졸업,열린우리당 원내부대표,49.6,국회의원선거,20040415
107,열린우리당,경기도,하남시,문학진,정당인,49,19541026,고려대 사학과 졸업,열린우리당 하남시지구당 위원장,42.7,국회의원선거,20040415
108,한나라당,경기도,파주시,이재창,국회의원,67,19361025,서울대학교 법학과 졸업,경기도지사,47,국회의원선거,20040415
109,한나라당,경기도,이천시·여주군,이규택,국회의원,61,19420720,서울대학교 사범대학 교육학과 졸업,한나라당 원내총무,41.9,국회의원선거,20040415
110,열린우리당,경기도,용인시갑,우제창,정당인,40,19630425,옥스퍼드 대학 중국경제학 박사,동경대학 동양문화연구소 객원연구소,46.5,국회의원선거,20040415
111,한나라당,경기도,용인시을,한선교,정당인,44,19590623,성균관대졸,MBC 아나운서,56.1,국회의원선거,20040415
112,열린우리당,경기도,안성시,김선미,정당인,43,19610320,숙명여대 약학대학원 약학과 생약학석사,열린우리당 국민참여운동본부장,50.9,국회의원선거,20040415
113,한나라당,경기도,김포시,유정복,교수,46,19570616,서울대학교 행정대학원 졸업,김포군수,47.7,국회의원선거,20040415
114,한나라당,경기도,광주시,박혁규,정당인,49,19540905,동원대학 사무자동화과 졸업,경기도의회의원(3선),44.4,국회의원선거,20040415
115,열린우리당,경기도,포천시·연천군,이철우,정당인,43,19600809,서울시립대 영어영문학과 졸업,대통령 직속 국가균형발전위원회 자문위원,43.4,국회의원선거,20040415
116,한나라당,경기도,양평군·가평군,정병국,국회의원,46,19580210,성균관대 대학원 졸업(정치학 박사),국회 문화관광 예산결산위원,59,국회의원선거,20040415
117,한나라당,강원도,춘천시,허천,정치인,61,19430410,춘천고등학교졸업,"강원도의회 제3,4,5대 의원",42.9,국회의원선거,20040415
118,한나라당,강원도,원주시,이계진,방송인,57,19461123,고려대학교 국어국문학과 졸업,방송인생활 30년,42.2,국회의원선거,20040415
119,한나라당,강원도,강릉시,심재엽,심로악기(주) 회장,58,19460302,서울대학교 상과대학 졸업,(前)강원도 정무부지사,47.2,국회의원선거,20040415
120,한나라당,강원도,동해시·삼척시,최연희,국회의원,59,19441229,성균관대학교대학원졸업(법학박사),한나라당 강원도지부위원장,55.6,국회의원선거,20040415
121,한나라당,강원도,속초시·고성군·양양군,정문헌,동국대학교 행정대학원 겸임교수,37,19660504,고려대학교 대학원 정치학박사,고려대학교 연구교수,35.8,국회의원선거,20040415
122,열린우리당,강원도,홍천군·횡성군,조일현,정당인,48,19550715,중국 북경대 대학원 졸업(박사과정),제14대 국회의원,43.1,국회의원선거,20040415
123,열린우리당,강원도,태백시·영월군·평창군·정선군,이광재,정당인,39,19650228,연세대학교 법학과 졸업,청와대 국정상황실장,46.7,국회의원선거,20040415
124,한나라당,강원도,철원군·화천군·양구군·인제군,박세환,정당인,47,19570203,고려대학교 법과대학 행정학과 졸업,서울·춘천·의정부 지청 검사,37.2,국회의원선거,20040415
125,열린우리당,충청북도,청주시상당구,홍재형,국회의원,66,19380327,서울대학교 행정대학원 행정학과졸업(석사),재정경제원장관 겸 경제부총리,56,국회의원선거,20040415
126,열린우리당,충청북도,청주시흥덕구갑,오제세,정치인,55,19490405,서울대학교 환경대학원 졸업,인천광역시 행정부시장,46.2,국회의원선거,20040415
127,열린우리당,충청북도,청주시흥덕구을,노영민,정당인,46,19571125,연세대학교 경영학과 졸업,열린우리당 행정수도이전대책위원장,52.4,국회의원선거,20040415
128,열린우리당,충청북도,충주시,이시종,정당인,56,19470418,서울대 정치학과 졸업,내무부 지방 기획국장,51.6,국회의원선거,20040415
129,열린우리당,충청북도,제천시·단양군,서재관,정당인,58,19460210,고려대학교 법학과졸업,제천경찰서장,45.3,국회의원선거,20040415
130,열린우리당,충청북도,청원군,변재일,정당인,55,19480902,미국 펜실베니아대학교 대학원 2년 졸업,정보통신부 차관,54.8,국회의원선거,20040415
131,열린우리당,충청북도,보은군·옥천군·영동군,이용희,정당인,72,19310610,대전사범학교 졸업,"제9,10,12대 국회의원",50,국회의원선거,20040415
132,열린우리당,충청북도,증평군·진천군·괴산군·음성군,김종률,변호사,41,19621225,서울대학교 법과대학원 졸업,법무법인춘추 대표,47.6,국회의원선거,20040415
133,열린우리당,충청남도,천안시갑,양승조,변호사,45,19590321,성균관대학교 법학과 졸업,충남육상경기연맹회장,45.3,국회의원선거,20040415
134,열린우리당,충청남도,천안시을,박상돈,나사렛대학교 객원교수,54,19490903,서울대학교 행정대학원 졸업,대천시장,45.5,국회의원선거,20040415
135,열린우리당,충청남도,공주시·연기군,오시덕,공주대 겸임교수,56,19470609,충남대학교 대학원 건축공학과 졸업,대한주택공사 사장,46.6,국회의원선거,20040415
136,자민련,충청남도,보령시·서천군,류근찬,정당인,55,19490227,서울대학교 사범대학 졸업,KBS보도본부장,39.4,국회의원선거,20040415
137,열린우리당,충청남도,아산시,복기왕,정당인,36,19680410,고려대학교 정책대학원 석사과정 수료,(전)노무현대통령후보아산시선거대책위원장,37.4,국회의원선거,20040415
138,열린우리당,충청남도,서산시·태안군,문석호,국회의원,44,19590712,고려대학교 법학과 졸업,노무현후보 선대위 대변인,46.8,국회의원선거,20040415
139,자민련,충청남도,논산시·계룡시·금산군,이인제,국회의원,55,19481211,서울대학교 행정학과 졸업,제13.14.16대 국회의원,44.9,국회의원선거,20040415
140,자민련,충청남도,부여군·청양군,김학원,국회의원,56,19471015,서울대학교 법학과 졸업,국회의원,65.4,국회의원선거,20040415
141,한나라당,충청남도,홍성군·예산군,홍문표,정당인,56,19471005,한양대학교 행정대학원 졸업,한나라당 사무부총장,32.5,국회의원선거,20040415
142,자민련,충청남도,당진군,김낙성,정당인,61,19421206,단국대학교 행정대학원 행정학과 졸업,(전)자유민주연합당진군지구당위원장,37.3,국회의원선거,20040415
143,열린우리당,전라북도,전주시완산구갑,장영달,국회의원,55,19480824,국민대학교 대학원 졸업(법학석사),열린우리당 조직위원장,65.4,국회의원선거,20040415
144,열린우리당,전라북도,전주시완산구을,이광철,정당인,47,19560502,전북대학교 철학과 졸업,대통령자문 국가균형발전위원회 자문위원,69.2,국회의원선거,20040415
145,열린우리당,전라북도,전주시덕진구,채수찬,미국 Rice대학교 경제학과 교수,49,19550227,미국 펜실베니아대학교 경제학박사 취득,미국 라이스대학교 경제학과 종신교수,72.5,국회의원선거,20040415
146,열린우리당,전라북도,군산시,강봉균,국회의원,60,19430813,서울대학교 상과대학 졸업,정보통신부 장관,78.3,국회의원선거,20040415
147,열린우리당,전라북도,익산시갑,한병도,정당인,36,19671207,원광대학교 신문방송학과 졸업,대통령자문 국가균형발전위원회 자문위원,74.5,국회의원선거,20040415
148,열린우리당,전라북도,익산시을,조배숙,변호사,47,19560910,서울대학교대학원 법학과 졸업(석사),제16대 국회의원,66.8,국회의원선거,20040415
149,열린우리당,전라북도,정읍시,김원기,국회의원,67,19370216,연세대학교 정치외교학과 졸업,열린우리당 최고상임고문,49.6,국회의원선거,20040415
150,열린우리당,전라북도,남원시·순창군,이강래,제16대 국회의원,51,19530302,서울대학교 대학원(행정학박사),제16대 국회의원,59.3,국회의원선거,20040415
151,열린우리당,전라북도,김제시·완주군,최규성,정치인,54,19500204,서울대학교 법과대학 법학과 졸업,국민정치 연구회 사무총장,51,국회의원선거,20040415
152,열린우리당,전라북도,진안군·무주군·장수군·임실군,정세균,국회의원,53,19500926,경희대학교 경영학박사,열린우리당 정책위의장,78.1,국회의원선거,20040415
153,열린우리당,전라북도,고창군·부안군,김춘진,치과의사,51,19530124,경희대학교 대학원 치의학 박사,전 대통령 및 그 가족 의료자문의,36.3,국회의원선거,20040415
154,새천년민주당,전라남도,목포시,이상열,변호사,52,19520122,서울대학교 정치학과 졸업,목포변호사회 회장(전),50.9,국회의원선거,20040415
155,열린우리당,전라남도,여수시갑,김성곤,평화운동가,51,19521106,美템플대학교 문과대학원5년졸업(철학박사),제15대 국회의원,62.1,국회의원선거,20040415
156,열린우리당,전라남도,여수시을,주승용,(주)화성산업이사,51,19520727,고려대학교 경영대학원 졸업(경영학석사),여천군수 역임,66.9,국회의원선거,20040415
157,열린우리당,전라남도,순천시,서갑원,정당인,41,19620624,국민대 법학과 대학원 졸업,대통령 의전.정무 비서관,49.8,국회의원선거,20040415
158,무소속,전라남도,나주시·화순군,최인기,정치인,60,19440318,서울대학교 법과대학  졸업,농림수산부장관,42.1,국회의원선거,20040415
159,열린우리당,전라남도,광양시·구례군,우윤근,법무법인유.러European&Russian대표변호사,46,19570924,전남대학교 대학원 졸업,열린우리당 중앙위원,57.4,국회의원선거,20040415
160,새천년민주당,전라남도,담양군·곡성군·장성군,김효석,정당인,54,19490715,(미)조지아대학교대학원졸(경영학석.박사),제16대 새천년민주당 국회의원,52.5,국회의원선거,20040415
161,열린우리당,전라남도,고흥군·보성군,신중식,정당인,63,19401227,서울대학교 외교학과 졸업,(전)국정홍보처장,34.5,국회의원선거,20040415
162,열린우리당,전라남도,장흥군·영암군,유선호,변호사,50,19530927,서울대학교 법과 대학원 졸업(법학석사),제15대 국회의원,46.1,국회의원선거,20040415
163,열린우리당,전라남도,강진군·완도군,이영호,정당인,44,19591203,부경대학교 대학원졸업(수산학박사),해남수산기술관리소장,52.2,국회의원선거,20040415
164,새천년민주당,전라남도,해남군·진도군,이정일,국회의원,56,19471107,한양대학교 공업경영학과 1년 중퇴,김대중총재 특보,55.5,국회의원선거,20040415
165,새천년민주당,전라남도,무안군·신안군,한화갑,제16대 국회의원,65,19390201,서울대학교 외교학과 졸업,재단법인 한국기원 총재(현),57.5,국회의원선거,20040415
166,한나라당,서울특별시,종로구,박진,국회의원,47,19560916,옥스포드대학교(영국) 정치학박사('85~'93),16대 국회의원,42.8,국회의원선거,20040415
167,한나라당,서울특별시,중구,박성범,정당인,64,19400317,중앙대학교 신문방송대학원 졸업(석사),KBS 보도본부장,45.9,국회의원선거,20040415
168,한나라당,서울특별시,용산구,진영,변호사,53,19501023,서울대학교 법학과 졸업,서울지방법원 남부지원 판사,46,국회의원선거,20040415
169,열린우리당,서울특별시,성동구갑,최재천,변호사,40,19631119,전남대학교 대학원 졸업(법학박사),성동구 고문변호사,40.9,국회의원선거,20040415
170,열린우리당,서울특별시,성동구을,임종석,정당인(국회의원),37,19660424,한양대학교 무기재료공학과 졸업,제16대 국회의원,49.6,국회의원선거,20040415
171,열린우리당,서울특별시,광진구갑,김영춘,국회의원,42,19620205,고려대학교대학원졸업(정치학석사),제16대 국회의원,50.7,국회의원선거,20040415
172,열린우리당,서울특별시,광진구을,김형주,정당인,40,19630924,한국외대 대학원졸업(정치학박사),한국청년연합회(KYC)초대회장,35.7,국회의원선거,20040415
