"ID","용역명","용역기간(시작)","용역기간(끝)","용역기관","필요성","연구개요"
"18097","제2차 서울시 보행안전 및 편의증진 기본계획 수립","2018-04-20","2018-12-30","산학협력단 외 1개사","법정 기한 도래에 따른 5개년 계획 수립","보행자의 안전확보 및 편의증진을 위한 정책의 기본방향 및 목표 설정"
"19037","찾아가는 동주민센터 3단계 성과관리 학술용역","2018-04-10","2018-12-28","서울연구원","○ 지속적인 찾동 사업의 성과관리를 통한 객관적인 사업평가 및 진단   - 사업의 성과를 명확하게 진단하고 쟁점 개선필요사항 도출?보완 ○ 찾동사업에 따른 지역사회 변화양상 도출 및 학술적 분석   - 사업 시행 전후 비교 등을 통한 변화양상 도출 발전방안 모색","○ 과 제 명 : ‘찾아가는 동주민센터’ 3단계 사업 성과관리 학술용역 ○ 연구기간 : 2018.4 ~ 2018.11(계약일로부터 7개월) ○ 계약방법 : 수의계약   - 계약대상 : 서울연구원(원장 : 서왕진) ○ 소요예산 : 금 90000천원(2018)"
"18537","한강 상수원 및 지천 퇴적물 관리방안 연구","2018-04-06","2019-02-02","(주)에아가이아","○ 하천의 퇴적물은 배출되는 오염물질의 종착점이면서 동시에 지속적으로 오염물질을 배출하는 오염원으로 작용한다. 하천에 퇴적된 토사는 유수장애 등 치수관리 악영향을 비롯 저서생물 성장 저해 조류발생 유기물 및 중금속 오염 등으로 인해 하천 수질을 악화시키고 우천 등으로 퇴적물 부상시 어류폐사 악취 발생 등 많은 문제점을 발생시키는 것으로 알려져 있고  ○ 실제로 시민들의 접근이 많은 중랑천과 안양천 등에서는 주민의 악취민원 어류집단폐사 등이 빈번히 발생하고 있는 실정이며 특히 과거 공장밀집지역인 안양천 주변의 피해가 큰 것으로 알려짐    ○ 이에비해 한강의 전반적인 퇴적물에 대한 조사 및 그에 대한 영향분석은 실시한 적이 없고 관리방안도 없는 상황임   ○ 이에 연구용역을 통해 한강 퇴적물 분포 및 오염실태 와 오염유발 원인을 진단하여 퇴적물 적정관리 방안을 마련하고 한강 지천 및 한강 수질개선을 위한 정책자료로 활용하고자 함","○ 과 업 명 : 한강 상수원 및 지천 퇴적물 관리방안 연구용역 ○ 과업기간 : 2018. 2. ? 2019. 2 (계약일로부터 12개월) ○ 공간적 범위 : 서울시 한강본류 및 지천   - 한강본류 : 상수원 한강하류    - 지    천 : 중랑천 탄천 안양천 홍제천 ○ 주요 연구내용    ① 한강 퇴적물 분포현황 조사&#8228;분석    ② 퇴적물 오염도 평가    ③ 한강 퇴적물 영향 분석    ④ 퇴적물 최적관리를 위한 중&#8228;장기 로드맵 제시"
"18937","서울관광 중기 발전계획 수립 연구용역(2018~2022)","2018-03-20","2018-12-07","한양대학교 산학협력단","○ 세계 주요도시에서는 관광을 일자리 창출과 도시경제 활성화를 이끄는 전략산업으로 육성하기 위해 중장기 발전전략을 수립하는 등 다가오는 미래에 체계적이고 일관성 있게 준비 중임  ○ 아시아권 관광시장의 급성장 4차 산업혁명시대의 도래 등 급변하는 환경에 선제적으로 대응하기 위한 트랜드 분석과 미래예측을 통한 전략 마련 필요  ○ 신정부 출범에 따라 정부정책에 부합하는 市 전략수립 및 정책과제 도출","○ 과업목적   － 급변하는 국내외 관광환경 변화 속에서 서울관광의 지속적 성장을 이끌어 갈 수 있는 비전 및 정책방향 도출   － 특히 관광을 통해 ‘서울 경제성장’과 ‘시민 삶의 질’ 제고를 동시에 달성 하기 위한 전략 및 정책과제 단계별 실행계획을 수립함으로써 민선7기 서울 관광정책 기틀을 마련 ○ 주요 과업내용   － 국내외 관광환경 분석 서울시 관광정책 진단 비전 및 세부목표 추진 과제 및 실행계획 협력 거버넌스 운영 연차별 투자계획 규모 파악 등"
"18497","자원회수시설 주변영향지역 주민건강영향 조사-연구(5단계 3차)","2018-03-02","2018-12-21","연세대학교 산학협력단","○ 공신력 있는 전문기관에서 장기 연구를 위한 지역 연구대상군을구성하여 지속적으로 인체와 환경영향 모니터링 ○ 국내의 자원회수시설로 인한 인체와 환경모니터링 자료가 전무한 현실에서 객관성 있는 국내 자료의 양산 및    구축 필요 ○ 생산된 자료를 주민과의 소통의 도구로 활용함으로써 주민들의 불안 및 불만을 해소하고 객관적 자료를 바탕    으로 서울시 정책 자료로 활용","○ 다이옥신 등 자원회수시설로 인한 유해물질이 주변지역 주민의 건강에 미치는 영향을 장기 모니터링 ○ 자원회수시설로 인한 주변지역 환경영향을 객관적으로 평가하여 주민들의 우려를 해소하고 서울시의 일관된    대민정책을 통하여 자원회수시설의 효율적 운영 및 이미지 제고"
"16317","서울형 ‘좋은 일자리’ 표준지표 개발 및 일자리 질 평가","2017-12-29","2018-10-31","워크인조직혁신연구소","○ 노동시장 유연화 외주화 기업의 구조조정 등으로 비정규직 일자리는 늘어났지만 불안정하고 열악한     고용환경은 실업반복 양극화 안전사고 등으로 이어져 사회적으로 일자리 질 개선에 대한 요구가 높음 ○ 하지만 어떤 분야에서 어느 수준까지 일자리 질을 개선해야 ‘좋은 일자리’로 향상시킬 수 있는지     지표 및 기준이 정형화되지 않음 ○ 국제사회는 ‘고용의 질’을 주요한 정책 과제로 제시하고 노동의 질과 근로기준을 보호해야 한다고     목소리를 높이고 있음  ○ 국제노동기구(ILO)는 인간다운 노동조건 확립을 위해 일자리 질 관련 평가지표를 개발하고 있지만 이를     바로 서울시에 적용하기엔 국가적?지역적?환경적 요인으로 인해 실정과 차이가 있음 ○ 그러므로 서울형 ‘좋은 일자리’ 표준지표를 개발하고 일자리 질이 열악한 직종과 서울시 투자출연    기관 종사자에게 적용하여 일자리 질 측정 및 정책적 개선점 도출이 필요함","○ 연구기관 : 미정 ○ 연구기간 : 8개월(’17.3월 ~ 10월) ○ 연구내용  - 서울형 ‘좋은 일자리’ 표준지표 개발  - 직종 및 기관별 일자리 질 평가   ?직종 : 일자리 질 취약 직종(사회서비스) 일자리 질 평가   ?기관 : 서울시 18개 투자출연기관 일자리 질 평가"
"19102","서울시 먹거리보장 구현을 위한 사회?경제적 취약계층 먹거리 실태 연구","2017-12-27","2018-12-15","한국보건산업진흥원","○ 식생활이 건강에서 차지하는 비중이 증가하면서 식생활로 인한 만성질환의 증가로 개인의 삶의 질이 변화하고 있음. 서울시민 특히 취약계층을 대상으로 한 보건정책을 수립함에 있어 현황파악과 방향제시 등 근거자료로 필요 ○ 국민기초생활수급자 등에 대한 공적부조 프로그램이 시행되고 있으나 먹거리 보장은 경제적 지원과는 또 다른 차원의 접근이 필요한 문제임  (대상자의 건강 특성 가구 구성의 특성에 따라 먹거리 수급 및 선택 제한 요인 발생) ○ 정부 양곡 지원 등 쌀과 김치위주의 먹거리 공급에서 탈피하여 수요자에게 필요한 먹거리를 공급 할 수 있도록 실태조사 필요 ○ 먹거리를 기본권으로 선언한 서울시의 책임 강화를 위해서도 우선적으로 실시 되어야 할 정책 과제임","○ 질적 먹거리 공급을 위한 먹거리 취약계층 실태 조사    - 1차 : 공공자료 빅데이터 등 기존 자료 활용 취약계층 먹거리 현황 분석    - 2차 : 취약계층 식생활 표본조사(가구방문 현장조사)    - 3차 : 우선순위 서비스 요구도 도출 ○ 사업효과 분석을 통한 정책제시"
"16057","유네스코 세계유산 등재를 위한 서울 백제역사유적 보존?관리 기본계획 수립연구","2017-10-20","2018-08-20","서울시립대학교 산학협력단 외 2","○ 세계유산 등재 신청서 제출 시 유적에 대한 보존&#8228;관리&#8228;활용계획 및 관리실적 필요 ○ 세계유산제도를 고려한 진정성 있는 보존?관리?활용 기본계획 수립으로 세계유산제도의 기준에 부합하는 체계적 지속적인 유지&#8228;관리 방향 제시 필요 ○ 서울 백제역사유적의 체계적인 보존?관리?활용을 통해 세계유산으로 등재하여 전 세계인의 문화유산으로 전승?보존 필요 ○ 세계유산적 관점의 유적 주변경관 및 직접적 위해요인의 정비로 유적과 주변환경이 조화된 역사도시 서울의 비전 제시","○ 서울 백제역사유적 &#65378;백제역사유적지구&#65379;(공주?부여?익산)의 확장등재 대비 유적에 대한 체계적인 유적 보존?관리?활용을 위한 기본계획 수립 연구 ○ 유적 보호 및 관리 실태 조사 문제점 분석 개선방안 제시 ○ 유적 보존에 영향을 미치는 생물학적&#8228;생태적?화학적 위해요인 분석 단계적 정비지침 마련 ○ 유적 및 인접지 관리?활용실태 조사 탐방?편의시설 분포현황 및 접근성 분석 접근성 종합 개선 및 활용방안 마련 ○ 유적 내외부 경관관리 실태조사 개발압력 분석 체계적 경관 및 지속가능한 개발방안 마련"
"17657","공공사업 추진시 사전이행절차 개선을 통한 갈등저감 방안 연구","2017-08-11","2018-02-10","사) 한국갈등학회","○ 갈등일반에 관한 연구는 일부 있으나 설명회 공청회 등 사전이행절차에 대한 연구는 전무한 실정이므로 실증적    연구를 통해 관련정책 시행의 논리적 근거 마련 필요. ○ 현재의 형식적인 법규정으로 인하여 시민의견수렴의 사각지대가 존재하므로 사전절차 이행에 대한 구체적인     방안(일시 횟수 인원 장소 등) 수립 필요 ○ 공공정책 수립 및 추진시 해당 사업이 발생시킬 수 있는 갈등을 미리 조사?예측?평가하여 갈등을 제거    또는 감소시킬 수 있는 갈등영향평가 도입 필요성 대두 ○ 시책사업 추진과 관련하여 발생한 갈등 사례조사 효과적인 주민의견 수렴방안에 대한 국내외 우수 사례조사   개선방안 도출 등을 통해 법제도적인 보완책 마련 필요","○ 용 역 명 : 공공사업 추진시 사전이행절차 개선을 통한 갈등저감방안 연구 ○ 용역기간 : 계약일로부터 6개월 ○ 소요예산 : 50000000원 ○ 수행방법 : 수의계약(서울연구원)"
"17737","서울의 MICE산업 경쟁력 강화를 위한 SETEC 일대 종합관리방안","2017-07-26","2018-05-25","서울연구원","○ 우리시 MICE 산업 경쟁력 강화를 위해 세택일대에 전시?컨벤션 시설을 포함한 복합개발(안)이 경제진흥본부 차원에서 제시?논의되고 있는 상황이나 ○ 대상지 일대에 MICE시설 입지를 위해서는 도시공간관리 측면에서 계획적으로 해결해야 할 쟁점이 많은 바 도시계획 측면에서의 ‘SETEC일대 종합관리방안 연구’가 시급히 필요","○ 세택일대 MICE시설 입지를 위한 도시계획 측면의 종합관리방안 검토?제시   - 도시공간구조 측면에서의 대상지 역할과 위상 설정 지구단위계획 수립방안 용도지역 조정방안 도입기능 및 규모 실현화 방안 등"
"17537","딜쿠샤 활용을 위한 전시방안 및 기본설계 학술연구 용역","2017-07-09","2017-12-16","산학협력단","○ 3.1운동 백주년을 맞아 3.1운동을 전세계에 타전한 앨버트 테일러의 가옥인 딜쿠샤를 독립운동에 조력한 서양인(베델 헐버트 등)들의 활동을 조명하는 기념관으로 조성하여 활용할 수 있도록 기초 자료 조사?수집?발굴하여 그 결과물을 토대로 전시 컨텐츠 및 전시물 제작?확보 방안이 제시될 수 있는 학술연구 용역 추진이 필요함","○ 학술용역의 배경 및 목적 딜쿠샤(Dilkusha: 힌두어로 ‘이상향’ ‘희망의 궁전’)는 3.1독립운동을 전세계에 타전한 앨버트 테일러(1875~1948)가 거주했던 근대 서양식 건축물로서 건축적 원형 복원과 함께 테일러와 같은 우리나라 독립운동에 조력한 서양인들의 활동을 기리는 기념공간으로 조성하여 향후 전시?기념관으로 활용하기 위해 관련 인물들에 대한 역사 자료 조사와 전시물 제작 방안 등을 구체적으로 제시할 수 있는 학술연구 용역을 추진하고자 함   ○ 학술조사연구 용역 추진 방향 독립운동에 조력한 서양인들의 활동을 밝힐 수 있는 역사적 자료를 발굴?수집하고 이를 토대로 각 매체별 전시물 제작 및 확보 방안을 구체적으로 제시하여 전시 공간 조성을 위한 기본 설계안을 제시"
"16277","인권실태 분석 및 인권정책 제2차 기본계획 수립 연구용역","2017-05-24","2017-12-19","서울시립대학교 산학협력단","○ 그동안의 인권환경의 변화를 반영한 제2기 서울시 인권정책의 효과적 추진을 위해서는 제1차 기본계획 이행상황    조사?분석 및 현재의 영역별 인권상황 실태조사가 선행되어야 함 ○ 이를 바탕으로 인권도시 서울 구현을 위한 제2기 인권정책 기본방향 및 비전을 설정하고 세부적 실천전략을 담은   기본계획 수립이 필요함 ○ 또한 적실성있는 기본계획 수립을 위해 영역별 인권 가이드라인 제시와 인권영향평가가 필요함 ○ 그리고 인권현실의 변화를 반영하여 학교부문?시민?공무원 등을 대상으로 한 인권교육 프로그램을 개발?확산?   홍보하고 국내외 인권 유관기관과의 협력 네트워크 구축 등을 위한 개선방안 마련 필요","○ 인권정책 제1차 기본계획 추진과제 이행상황 조사?분석 ○ 현재의 영역별 인권상황 실태조사 ○ 인권정책 제2차 기본계획 수립 ○ 영역별 인권 가이드라인 제시 및 인권영향평가 ○ 인권교육 프로그램 개발?확산?홍보 등 문화인프라 구축 및 국내외 인권협력 네크워크 구축 개선방안"
"15718","2017~2026 서울특별시 산업입지 수급계획 수립","2017-05-15","2017-12-13","재단법인 한국산업전략연구원","○ 산업입지 및 개발에 관한 법률(제5조의 2) 및 동법 시행령(제6조의2) 규정에 따라 산업입지수급계획 수립지침    (2017~2026)에 따른 우리시의 산업입지수급계획(10년)을 수립하여 고시하는데 목적이 있음 ○ 서울특별시의 지역특성과 산업구조변화를 반영하여 서울시의 산업입지 수요를 예측하고 이를 근거로     서울특별시의 산업입지 중장기 발전전략 및 공급계획을 수립하기 위함","○ 필 요 성 : 한정된 자원을 효율적이고 합리적으로 활용하여 산업을 육성하고 기업의 입지요구를 고려한                산업입지공급정책을 수립 ○ 법적근거 : 산업입지 및 개발에 관한 법률 제5조의 2 및 동법 시행령 제6조의2 ○ 수립권자 : 서울특별시장 ○ 계획기간 : 2017~2026년(10년)"
"15997","찾아가는 동주민센터 2단계 성과관리 학술용역","2017-04-26","2017-12-29","서울연구원","○ 객관적 성과관리를 통한 2단계 사업의 평가 및 분석    - 2단계 사업의 성과를 명확히 진단하고 쟁점을 도출?보완    - 성과관리를 통한 사업 결과에 대한 체계적인 이해  ○ 찾동사업에 따른 지역사회 변화양상 도출 및 학술적 분석    - 전후비교를 통한 변화양상 도출 발전방안 모색    - 사업의 성공적 성과도출을 위한 전략적인 중?장기 평가체계 마련","○ 과업기간 : 2017.5월~2016.10월 ○ 수행기관 : 전문연구기관 ○ 예산액 : 90000천원 ○ 과업범위  - 공간적 범위 : 18개 자치구 283개 동 (필요시 서울시 전역)  - 시간적범위 : 2015~2017(3년) ○ 주요 과업내용  - 사업의 객관적 성과측정을 위한 지표의 수정?보완  -  2단계 사업의 정량적 실적과 정성적 성과의 분석  - 서비스 체감도 및 인지도 조사?분석  - 시간적?지역적 차이 분석 및 사업의 중장기 평가체계 제안"
"16137","서울시 도시관리계획(용도지역) 재정비","2017-04-01","2019-02-28","서울특별시","○ 2030 서울플랜 수립 이후 상업지역 준공업지역 용도지역별 허용용도 등 용도지역별 미래역할 정립에 따라 이를 실현할 수 있는 용도지역차원의 역할 구체화 필요 ○ 시대적 여건변화를 수용할 수 있는 용도지역의 지정(관리) 기준의 유연화 및 재정비 및 이에 따른 변경(요청)지역에 대한 용도지역 적정성 검토","○ 추진배경  - 5년마다 기존 도시관리계획을 전반적으로 재검토하여 정비할 필요(「국토계획법」 규정)  - ‘2030 서울플랜’에서 제시하고 있는 미래상 공간계획 및 이슈별 계획 실현을 위한 용도지역 관리방안 검토  - 제도적?사회적 여건변화를 반영한 용도지역 관리(변경) 원칙 및 기준 마련(재정비) 필요 ○ 연구범위   - 공간적 범위 : 서울시 전역  - 시간적 범위 : 기준년도 2017년 / 목표년도 2030년  - 내용적 범위 : 서울시 전역 도시관리계획(용도지역) 재정비"
"16037","서울특별시 문화유적 정밀지표조사 및 보존방안 학술연구(송파구)","2017-03-28","2017-12-08","한울문화재연구원","○ 송파구와 강동구 일원을 정밀지표조사를 실시하여 지정문화재 비지정문화재 매장문화재의 원 위치와 분포    범위를 고증 ○ 조사결과를 토대로 유적의 중요도에 따른 등급체계 및 보존 방법을 매뉴얼로 작성하여 도시개발이전의 문화    유적 보존방안 수립","○ 공간적 범위 : 송파구(33.89㎢)와 강동구(24.59㎢) ○ 시대적 범위 : 선사시대부터 조성된지 50년 이상 된 근현대 시기 유적 ○ 내용적 범위      - 대상지역의 기초자료 및 문화유적 현황조사      - 문헌 및 사료 선행연구결과 분석을 통해 문화유적 원위치 고증     - 정밀지표조사를 통한 매장문화재의 존재여부 판단      - 유적의 중요도 분류 및 현황 분석을 통한 보존방안 수립      - 학술용역 결과를 담은 유적분포도 제작      - 서울특별시 통합지리정보시스템 탑재를 위한 지도제작"
"15979","딜쿠샤 복원 및 활용 계획 수립을 위한 학술조사 연구","2017-03-24","2017-08-18","건축사사무소 강희재","○ 딜쿠샤 복원의 기준이 될 수 있는 건축적 원형에 대해 고증할 수 있는 기초 자료를 수집하여 복원 방향 및 가이드 라인 등 세부적인 계획 수립에 앞서 학술조사 연구 용역이 반드시 선행되어야 함  ○ 복원 후 앨버트 테일러를 비롯한 일제강점기 독립운동에 조력한 외국인들을 조명하는 기념관으로의 재정비를 추진하기 위해 관련 인물 및 지역사의 기초적인 자료 조사 연구가 필수적으로 요구됨","○ 학술용역 추진 배경 및 목적 - 딜쿠샤(Dilkusha: 이상향 희망의 궁전이라는 뜻의 힌두어)는 3.1독립운동과 관련한 일제의 탄압을 전세계에 타전한 앨버트 테일러(1875~1948)가 거주했던 근대기 서양식 건축물로 건축적&#8228;역사적 측면에서 보존가치가 충분하지만 장기간 방치되어 복원과 보존 방안 마련이 필요 - 이에 딜쿠샤의 복원과 문화재로의 재정비를 거쳐 대시민 공개를 추진함에 있어 학술용역을 선행하여 실행 계획의 기본적인 자료로 삼고자 함"
